제목,링크,언론사,날짜
"SK 나이츠, AI 스타트업 스트레스솔루션 '힐링비트' 활용한다... 선수단...",http://www.rookie.co.kr/news/articleView.html?idxno=113987,루키,1분 전
"뉴네임 원규빈 ‘내일도 출근!’ 캐스팅, 직진 연하 매력 잇는다",https://www.newsen.com/news_view.php?uid=202509291201385710,뉴스엔,1분 전
‘영산강 수질측정센터’ 준공…미량·미관리물질 정밀 감시,https://www.dailian.co.kr/news/view/1555013/?sc=Naver,데일리안,2분 전
‘사탐런’ 광풍 9월 모평 결과…과탐 선택 수험생 수능 ‘최저’ 비상,https://www.hani.co.kr/arti/society/schooling/1221284.html,한겨레,2분 전
"한미약품, 서울시약 요청에 ‘아모프렐정’ 포장 디자인 개선 착수",https://www.yakup.com/news/index.html?mode=view&cat=12&nid=316717,약업신문,2분 전
신세계그룹 재계 인사 신호탄…4대 그룹은 언제?,https://www.dailian.co.kr/news/view/1555209/?sc=Naver,데일리안,2분 전
"인천 동구, '제30회 동구 구민생활체육대회' 성료",https://www.wikitree.co.kr/articles/1084972,위키트리,2분 전
"환경부, 30일 4차 배출권 할당계획 2차 설명회 개최",https://www.dailian.co.kr/news/view/1555019/?sc=Naver,데일리안,2분 전
"성신여대, 2026학년도 전국 첫 논술고사 실시…지난 27일과 28일 양일간",http://www.beyondpost.co.kr/view.php?ud=20250929115558537892e75d13a3_30,비욘드포스트,2분 전
영산강 수질측정센터 준공…미량·미관리물질 수질감시 확대,https://www.mediapen.com/news/view/1046129,미디어펜,2분 전
"한미약품, 서울시약 요청에 ‘아모프렐정’ 포장 디자인 개선 착수",https://www.yakup.com/news/index.html?mode=view&cat=12&nid=316717,약업신문,3분 전
영산강 수질측정센터 준공…미량·미관리물질 수질감시 확대,https://www.mediapen.com/news/view/1046129,미디어펜,3분 전
"성신여대, 2026학년도 전국 첫 논술고사 실시…지난 27일과 28일 양일간",http://www.beyondpost.co.kr/view.php?ud=20250929115558537892e75d13a3_30,비욘드포스트,3분 전
[봉화군 소식] 고향사랑 기금사업 3건 최종 선정,http://www.newsprime.co.kr/news/article.html?no=706241,프라임경제,3분 전
'외화예탁금 이용료' 빼먹은 증권사,http://www.inews24.com/view/1891802,아이뉴스24,4분 전
"국내 4대 과기원, 박사후연구원 400명 임용 완료",https://www.sedaily.com/NewsView/2GY394NDB1,서울경제,4분 전
"현대차, '2026 쏘나타 디 엣지' 출시...'S' 트림 추가",http://www.fnnews.com/news/202509290904512523,파이낸셜뉴스,4분 전
