제목,링크,언론사,날짜
"애플, 美 노동권 침해 무죄 확정…中 공장서 또 논란",https://www.digitaltoday.co.kr/news/articleView.html?idxno=594617,디지털투데이,14분 전
"아이폰17 프로, MLB 경기 생중계 성공…스마트폰 카메라의 새 역사",https://www.digitaltoday.co.kr/news/articleView.html?idxno=594582,디지털투데이,26분 전
"애플 일기, 맥OS 26 지원으로 활용도↑…일상 기록 중심 앱 자리매김",https://www.digitaltoday.co.kr/news/articleView.html?idxno=594588,디지털투데이,26분 전
애플 인텔리전스 작동 안 돼…아이폰17 시리즈 논란 가열,https://www.digitaltoday.co.kr/news/articleView.html?idxno=594597,디지털투데이,26분 전
에어팟 프로 3 리뷰 : 작지만 체감 큰 변화,https://www.itworld.co.kr/article/4064427/%EC%97%90%EC%96%B4%ED%8C%9F-%ED%94%84%EB%A1%9C-3-%EB%A6%AC%EB%B7%B0-%EC%9E%91%EC%A7%80%EB%A7%8C-%EC%B2%B4%EA%B0%90-%ED%81%B0-%EB%B3%80%ED%99%94.html,ITWorld,1시간 전
"애플, '내부용 ChatGPT' 개발…내년 Siri 대규모 업그레이드 예고",http://www.press9.kr/news/articleView.html?idxno=67528,프레스나인,1시간 전
"""애플, 시리 개편 준비 위해 '챗GPT 유사 앱' 개발""",http://www.newsfc.co.kr/news/articleView.html?idxno=74104,금융소비자뉴스,1시간 전
"애플, 챗GPT 닮은 내부 앱 '베리타스'로 시리 개편 돌입",https://www.mstoday.co.kr/news/articleView.html?idxno=98968,MS투데이,1시간 전
"에코백스, 신제품 로청 '디봇11' 사전 고객 대상 프로모션",https://www.news1.kr/industry/electronics/5928386,뉴스1,1시간 전
"팀 쿡 CEO, 아이폰17 흥행 자축…“전 직원에 유급휴가”",https://www.etnews.com/20250929000136,전자신문,1시간 전
"씨게이트, 이동이 많은 크리에이터를 위해 내구성 강한 고성능 SSD 라씨...",https://kbench.com/?q=node/271820,케이벤치,1시간 전
"""아이폰17, 애플 인텔리전스 다운로드 오류""…품질 관리 도마 위",https://zdnet.co.kr/view/?no=20250929090047,지디넷코리아,1시간 전
"美 시장, 가장 인기 있는 아이폰은?…설문조사 결과 공개",https://www.digitaltoday.co.kr/news/articleView.html?idxno=594562,디지털투데이,1시간 전
"美 노동위, 팀 쿡 CEO 노동법 위반 혐의 철회",http://www.press9.kr/news/articleView.html?idxno=67525,프레스나인,1시간 전
"LG디스플레이, 4년 적자 고리 끊는다…증권가 ‘OLED 반등’에 베팅",https://www.ekn.kr/web/view.php?key=20250929024051805,에너지경제,1시간 전
"""애플 감성?""…랜턴도 조니 아이브가 디자인하니 다르네",https://zdnet.co.kr/view/?no=20250929083614,지디넷코리아,1시간 전
"팀 쿡, 아이폰17 성공 자축…""직원들에 특별 휴가 제공""",https://www.digitaltoday.co.kr/news/articleView.html?idxno=594561,디지털투데이,2시간 전
"애플 내년 아이폰17e '가성비' 낮추나, 블룸버그 ""아이폰17이 확실한 우...",https://www.businesspost.co.kr/BP?command=article_view&num=413928,비즈니스포스트,2시간 전
"샤오미17, 듀얼 스크린·초대형 배터리 지원…中 스마트폰 시장 판 흔든...",https://www.digitaltoday.co.kr/news/articleView.html?idxno=594517,디지털투데이,2시간 전
"'중국판 블랙 프라이데이' 광군제, 내달 9일 시작",https://www.ajunews.com/view/20250929093753011,아주경제,2시간 전
애플 인텔리전스 버그? 아이폰17서 일부 기능 '사용불가',https://kbench.com/?q=node/271811,케이벤치,2시간 전
LG전자 OLED 기술 술술 샐라 … '중국 공동생산' 우려 봇물,https://www.ilovepc.co.kr/news/articleView.html?idxno=56209,디지털포스트(PC사랑),2시간 전
"""언제까지 M7이냐, 이제 '엘리트8''M10'""…AI 산업 샛별 종목들",https://www.news1.kr/world/international-economy/5928113,뉴스1,2시간 전
"스마트글라스·AI에 돈 쏟는 메타, 차세대 기기 시장 선점할까 [친절한...",https://www.bloter.net/news/articleView.html?idxno=644849,블로터,2시간 전
삼성디스플레이 40조 챙길 때 8조 날려버린 LG디스플레이...이유는?,http://www.financialreview.co.kr/news/articleView.html?idxno=37308,파이낸셜리뷰,3시간 전
